drug_name,drug_name_clean,medical_condition,medical_condition_clean,generic_name,drug_classes,input_text,input_text_clean,side_effects_clean,side_effects_count
M-Pap,m-pap,Pain,pain,acetaminophen (oral),,m-pap pain acetaminophen (oral),m-pap pain acetaminophen,"rash, itching, stomach pain, swelling",4
Mapap Arthritis Pain,mapap arthritis pain,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"mapap arthritis pain pain acetaminophen (oral route, rectal route) miscellaneous analgesics",mapap arthritis pain pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Motrin Childrens,motrin childrens,Pain,pain,ibuprofen (oral route),Nonsteroidal anti-inflammatory drugs,motrin childrens pain ibuprofen (oral route) nonsteroidal anti-inflammatory drugs,motrin childrens pain ibuprofen nonsteroidal anti-inflammatory drug,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, fatigue, drowsiness, constipation, dry mouth, weight gain, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, hair loss, chest pain, appetite loss, tremor, depression, confusion, blurred vision",26
Motrin Junior Strength,motrin junior strength,Pain,pain,Ibuprofen Chewable Tablets,Nonsteroidal anti-inflammatory drugs,motrin junior strength pain ibuprofen chewable tablets nonsteroidal anti-inflammatory drugs,motrin junior strength pain ibuprofen chewable tablet nonsteroidal anti-inflammatory drug,"headache, dizziness, rash, itching, weight gain, fever, cough, swelling, bleeding, chest pain, back pain",11
Nortemp Children's,nortemp children's,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"nortemp children's pain acetaminophen (oral route, rectal route) miscellaneous analgesics",nortemp childrens pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Nucynta ER,nucynta er,Pain,pain,tapentadol,Opioids (narcotic analgesics),nucynta er pain tapentadol opioids (narcotic analgesics),nucynta er pain tapentadol opioids,"nausea, vomiting, diarrhea, headache, dizziness, itching, drowsiness, constipation, fever, stomach pain, swelling, chest pain, confusion",13
Ofirmev,ofirmev,Pain,pain,acetaminophen (injection),Miscellaneous analgesics,ofirmev pain acetaminophen (injection) miscellaneous analgesics,ofirmev pain acetaminophen miscellaneous analgesic,"cough, breathing problems, nausea, vomiting, constipation, agitation, itching, headache, sleep problems",9
Pharbetol,pharbetol,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,pharbetol pain acetaminophen (oral) miscellaneous analgesics,pharbetol pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
Qdolo,qdolo,Pain,pain,tramadol hydrochloride,Opioids (narcotic analgesics),qdolo pain tramadol hydrochloride opioids (narcotic analgesics),qdolo pain tramadol hydrochloride opioids,"nausea, vomiting, headache, dizziness, drowsiness, constipation, swelling, chest pain, confusion",9
Silapap Childrens,silapap childrens,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,silapap childrens pain acetaminophen (oral) miscellaneous analgesics,silapap childrens pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
Tactinal,tactinal,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,tactinal pain acetaminophen (oral) miscellaneous analgesics,tactinal pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
Tempra Quicklets,tempra quicklets,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,tempra quicklets pain acetaminophen (oral) miscellaneous analgesics,tempra quicklets pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
Tycolene,tycolene,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,tycolene pain acetaminophen (oral) miscellaneous analgesics,tycolene pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
Tylophen,tylophen,Pain,pain,Acetaminophen Capsules and Tablets,Miscellaneous analgesics,tylophen pain acetaminophen capsules and tablets miscellaneous analgesics,tylophen pain acetaminophen capsule tablet miscellaneous analgesic,"rash, itching, fever, stomach pain, swelling",5
Ultracet,ultracet,Pain,pain,acetaminophen and tramadol,Narcotic analgesic combinations,ultracet pain acetaminophen and tramadol narcotic analgesic combinations,ultracet pain acetaminophen tramadol narcotic analgesic combination,"dizziness, drowsiness, stomach pain, nausea, loss of appetite, diarrhea, constipation, sweating",8
Vitapap,vitapap,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,vitapap pain acetaminophen (oral) miscellaneous analgesics,vitapap pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
Actiq,actiq,Pain,pain,fentanyl citrate (oral transmucosal),Opioids (narcotic analgesics),actiq pain fentanyl citrate (oral transmucosal) opioids (narcotic analgesics),actiq pain fentanyl citrate opioids,"dizziness, mild drowsiness, depressed mood, sleep problems, headache, weakness, anxiety, nausea, vomiting, constipation, mild rash",11
Anjeso,anjeso,Pain,pain,meloxicam (intravenous route),Nonsteroidal anti-inflammatory drugs,anjeso pain meloxicam (intravenous route) nonsteroidal anti-inflammatory drugs,anjeso pain meloxicam nonsteroidal anti-inflammatory drug,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, fever, cough, stomach pain, swelling, bleeding, bruising, skin rash",15
Dazidox,dazidox,Pain,pain,oxycodone (oral route),Opioids (narcotic analgesics),dazidox pain oxycodone (oral route) opioids (narcotic analgesics),dazidox pain oxycodone opioids,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, dry mouth, weight gain, weight loss, fever, cough, stomach pain, muscle pain, swelling, skin rash, chest pain, appetite loss, anxiety, depression, confusion, blurred vision",24
ETH-Oxydose,eth-oxydose,Pain,pain,oxycodone (oral route),Opioids (narcotic analgesics),eth-oxydose pain oxycodone (oral route) opioids (narcotic analgesics),eth-oxydose pain oxycodone opioids,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, dry mouth, weight gain, weight loss, fever, cough, stomach pain, muscle pain, swelling, skin rash, chest pain, appetite loss, anxiety, depression, confusion, blurred vision",24
Hysingla ER,hysingla er,Pain,pain,hydrocodone (oral),Opioids (narcotic analgesics),hysingla er pain hydrocodone (oral) opioids (narcotic analgesics),hysingla er pain hydrocodone opioids,"nausea, vomiting, diarrhea, headache, dizziness, itching, drowsiness, constipation, fever, swelling, tremor, confusion",12
Oxaydo,oxaydo,Pain,pain,oxycodone,Opioids (narcotic analgesics),oxaydo pain oxycodone opioids (narcotic analgesics),oxaydo pain oxycodone opioids,"drowsiness, headache, dizziness, tiredness, constipation, stomach pain, nausea, vomiting",8
Oxydose,oxydose,Pain,pain,oxycodone (oral route),Opioids (narcotic analgesics),oxydose pain oxycodone (oral route) opioids (narcotic analgesics),oxydose pain oxycodone opioids,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, dry mouth, weight gain, weight loss, fever, cough, stomach pain, muscle pain, swelling, skin rash, chest pain, appetite loss, anxiety, depression, confusion, blurred vision",24
Oxyfast,oxyfast,Pain,pain,oxycodone,Opioids (narcotic analgesics),oxyfast pain oxycodone opioids (narcotic analgesics),oxyfast pain oxycodone opioids,"drowsiness, headache, dizziness, tiredness, constipation, stomach pain, nausea, vomiting",8
RoxyBond,roxybond,Pain,pain,oxycodone (oral route),Opioids (narcotic analgesics),roxybond pain oxycodone (oral route) opioids (narcotic analgesics),roxybond pain oxycodone opioids,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, dry mouth, weight gain, weight loss, fever, cough, stomach pain, muscle pain, swelling, skin rash, chest pain, appetite loss, anxiety, depression, confusion, blurred vision",24
Xtampza ER,xtampza er,Pain,pain,oxycodone,Opioids (narcotic analgesics),xtampza er pain oxycodone opioids (narcotic analgesics),xtampza er pain oxycodone opioids,"nausea, vomiting, headache, dizziness, drowsiness, constipation, swelling, chest pain, confusion",9
Zipsor,zipsor,Pain,pain,diclofenac,Nonsteroidal anti-inflammatory drugs,zipsor pain diclofenac nonsteroidal anti-inflammatory drugs,zipsor pain diclofenac nonsteroidal anti-inflammatory drug,"indigestion, gas, nausea, vomiting, stomach pain, diarrhea, constipation, headache, dizziness, drowsiness, abnormal lab tests, itching, sweating, stuffy nose, increased blood pressure, swelling, pain in your arms, legs",18
Aloe Vera Burn Relief Spray with Lidocaine,aloe vera burn relief spray with lidocaine,Pain,pain,Lidocaine Aerosol,Topical anesthetics,aloe vera burn relief spray with lidocaine pain lidocaine aerosol topical anesthetics,aloe vera burn relief spray lidocaine pain lidocaine aerosol topical anesthetic,"headache, dizziness, rash, itching, fever, cough, stomach pain, swelling, chest pain, confusion",10
AneCream,anecream,Pain,pain,lidocaine topical,Topical anesthetics,anecream pain lidocaine topical topical anesthetics,anecream pain lidocaine topical topical anesthetic,mild irritation where the medication is applied,1
Anestacon,anestacon,Pain,pain,lidocaine (topical application route),Topical anesthetics,anestacon pain lidocaine (topical application route) topical anesthetics,anestacon pain lidocaine topical anesthetic,"headache, dizziness, rash, itching, drowsiness, fever, cough, joint pain, swelling, bleeding, bruising, skin rash, chest pain, confusion, blurred vision",15
Astramorph PF,astramorph pf,Pain,pain,morphine (injection route),Opioids (narcotic analgesics),astramorph pf pain morphine (injection route) opioids (narcotic analgesics),astramorph pf pain morphine opioids,"nausea, vomiting, headache, dizziness, itching, bleeding, anxiety, confusion, blurred vision",9
Bactine,bactine,Pain,pain,lidocaine topical,Topical anesthetics,bactine pain lidocaine topical topical anesthetics,bactine pain lidocaine topical topical anesthetic,mild irritation where the medication is applied,1
Belbuca,belbuca,Pain,pain,buprenorphine (oral/buccal),Opioids (narcotic analgesics),belbuca pain buprenorphine (oral/buccal) opioids (narcotic analgesics),belbuca pain buprenorphine opioids,"constipation, nausea, vomiting, headache, dizziness, drowsiness, increased sweating, sleep problems, pain anywhere in your body",9
Biofreeze,biofreeze,Pain,pain,menthol topical,Topical rubefacient,biofreeze pain menthol topical topical rubefacient,biofreeze pain menthol topical topical rubefacient,swelling,1
butorphanol,butorphanol,Pain,pain,butorphanol (injection),Opioids (narcotic analgesics),butorphanol pain butorphanol (injection) opioids (narcotic analgesics),butorphanol pain butorphanol opioids,"nausea, vomiting, drowsiness, dizziness, dry mouth, warmth, redness under the skin",7
Butrans,butrans,Pain,pain,buprenorphine transdermal (skin patch),Opioids (narcotic analgesics),butrans pain buprenorphine transdermal (skin patch) opioids (narcotic analgesics),butrans pain buprenorphine transdermal opioids,"constipation, nausea, vomiting, headache, dizziness, drowsiness, tiredness, redness, itching, rash where the patch was worn",10
diphenhydramine,diphenhydramine,Pain,pain,Diphenhydramine (topical),Topical antihistamines,diphenhydramine pain diphenhydramine (topical) topical antihistamines,diphenhydramine pain diphenhydramine topical antihistamine,"rash, itching, fever, swelling",4
Duraclon,duraclon,Pain,pain,clonidine (injection),"Antiadrenergic agents, centrally acting","duraclon pain clonidine (injection) antiadrenergic agents, centrally acting",duraclon pain clonidine antiadrenergic agent centrally acting,"dizziness, drowsiness, depressed mood, nausea, dry mouth, confusion",6
Duramorph,duramorph,Pain,pain,morphine (injection route),Opioids (narcotic analgesics),duramorph pain morphine (injection route) opioids (narcotic analgesics),duramorph pain morphine opioids,"nausea, vomiting, headache, dizziness, itching, bleeding, anxiety, confusion, blurred vision",9
Duramorph PF,duramorph pf,Pain,pain,morphine (injection),Opioids (narcotic analgesics),duramorph pf pain morphine (injection) opioids (narcotic analgesics),duramorph pf pain morphine opioids,"nausea, vomiting, diarrhea, dizziness, itching, drowsiness, constipation, fever, swelling",9
Fentora,fentora,Pain,pain,fentanyl (buccal/sublingual),Opioids (narcotic analgesics),fentora pain fentanyl (buccal/sublingual) opioids (narcotic analgesics),fentora pain fentanyl opioids,"headache, dizziness, drowsiness, pale skin, feeling weak, tired, constipation, nausea, vomiting, swelling in your hands, feet",11
Infumorph,infumorph,Pain,pain,morphine (injection),Opioids (narcotic analgesics),infumorph pain morphine (injection) opioids (narcotic analgesics),infumorph pain morphine opioids,"breathing problems, drowsiness, dizziness, constipation, nausea, vomiting, sweating, numbness, tingling, cold feeling in your hands and feet",10
Itch Relief,itch relief,Pain,pain,Diphenhydramine (topical),Topical antihistamines,itch relief pain diphenhydramine (topical) topical antihistamines,itch relief pain diphenhydramine topical antihistamine,"rash, itching, fever, swelling",4
levorphanol,levorphanol,Pain,pain,levorphanol (oral),Opioids (narcotic analgesics),levorphanol pain levorphanol (oral) opioids (narcotic analgesics),levorphanol pain levorphanol opioids,"nausea, vomiting, stomach pain, constipation, dizziness, drowsiness, tiredness, headache",8
LidaMantle,lidamantle,Pain,pain,lidocaine topical,Topical anesthetics,lidamantle pain lidocaine topical topical anesthetics,lidamantle pain lidocaine topical topical anesthetic,mild irritation where the medication is applied,1
LidoRx,lidorx,Pain,pain,lidocaine topical,Topical anesthetics,lidorx pain lidocaine topical topical anesthetics,lidorx pain lidocaine topical topical anesthetic,mild irritation where the medication is applied,1
